МЕТЕОРОЛОГИЧЕСКАЯ БАЗА ДАННЫХ,Unnamed: 1,Unnamed: 2,Unnamed: 3
"Табл. 2.4 Дефицит насыщения, гПа",,,
Станция,Дата,Сред,Макс
Екидин,2013-01-01 00:00:00,0.59,0.81
Екидин,2013-01-02 00:00:00,0.39,0.52
Екидин,2013-01-03 00:00:00,0.28,0.37
Екидин,2013-01-04 00:00:00,0.15,0.21
Екидин,2013-01-05 00:00:00,0.32,0.53
Екидин,2013-01-06 00:00:00,0.58,0.85
Екидин,2013-01-07 00:00:00,0.61,0.78
Екидин,2013-01-08 00:00:00,0.29,0.47
Екидин,2013-01-09 00:00:00,0.49,1.66
Екидин,2013-01-10 00:00:00,1.2,1.55
Екидин,2013-01-11 00:00:00,0.89,1.55
Екидин,2013-01-12 00:00:00,0.67,1.13
Екидин,2013-01-13 00:00:00,0.36,0.48
Екидин,2013-01-14 00:00:00,0.56,0.64
Екидин,2013-01-15 00:00:00,0.45,0.51
Екидин,2013-01-16 00:00:00,0.33,0.41
Екидин,2013-01-17 00:00:00,0.43,0.59
Екидин,2013-01-18 00:00:00,0.34,0.54
Екидин,2013-01-19 00:00:00,0.5,0.74
Екидин,2013-01-20 00:00:00,0.62,0.83
Екидин,2013-01-21 00:00:00,0.47,0.74
Екидин,2013-01-22 00:00:00,0.83,1.03
Екидин,2013-01-23 00:00:00,0.67,1.23
Екидин,2013-01-24 00:00:00,0.84,1.53
Екидин,2013-01-25 00:00:00,0.89,1.53
Екидин,2013-01-26 00:00:00,0.74,1.01
Екидин,2013-01-27 00:00:00,0.42,0.83
Екидин,2013-01-28 00:00:00,0.34,0.64
Екидин,2013-01-29 00:00:00,0.34,0.78
Екидин,2013-01-30 00:00:00,0.41,0.73
Екидин,2013-01-31 00:00:00,0.91,1.43
Екидин,2013-02-01 00:00:00,0.63,0.73
Екидин,2013-02-02 00:00:00,0.8,1.23
Екидин,2013-02-03 00:00:00,0.54,0.72
Екидин,2013-02-04 00:00:00,0.4,0.48
Екидин,2013-02-05 00:00:00,0.44,0.73
Екидин,2013-02-06 00:00:00,0.75,1.23
Екидин,2013-02-07 00:00:00,0.76,1.21
Екидин,2013-02-08 00:00:00,0.41,0.73
Екидин,2013-02-09 00:00:00,0.35,0.65
Екидин,2013-02-10 00:00:00,0.43,0.81
Екидин,2013-02-11 00:00:00,0.39,0.72
Екидин,2013-02-12 00:00:00,0.43,0.93
Екидин,2013-02-13 00:00:00,0.4,0.76
Екидин,2013-02-14 00:00:00,0.38,0.72
Екидин,2013-02-15 00:00:00,0.38,0.72
Екидин,2013-02-16 00:00:00,0.41,0.73
Екидин,2013-02-17 00:00:00,0.57,1.5
Екидин,2013-02-18 00:00:00,0.64,1.33
Екидин,2013-02-19 00:00:00,0.89,1.13
Екидин,2013-02-20 00:00:00,0.69,0.92
Екидин,2013-02-21 00:00:00,0.36,0.62
Екидин,2013-02-22 00:00:00,0.39,0.6
Екидин,2013-02-23 00:00:00,0.46,0.83
Екидин,2013-02-24 00:00:00,0.45,0.7
Екидин,2013-02-25 00:00:00,0.38,0.63
Екидин,2013-02-26 00:00:00,0.56,0.83
Екидин,2013-02-27 00:00:00,0.44,0.73
Екидин,2013-02-28 00:00:00,0.58,0.82
Екидин,2013-03-01 00:00:00,0.37,0.77
Екидин,2013-03-02 00:00:00,0.76,1.73
Екидин,2013-03-03 00:00:00,0.74,1.01
Екидин,2013-03-04 00:00:00,0.68,0.99
Екидин,2013-03-05 00:00:00,0.62,1.21
Екидин,2013-03-06 00:00:00,0.66,1.02
Екидин,2013-03-07 00:00:00,0.61,0.82
Екидин,2013-03-08 00:00:00,0.63,1.13
Екидин,2013-03-09 00:00:00,0.84,1.13
Екидин,2013-03-10 00:00:00,0.7,1.22
Екидин,2013-03-11 00:00:00,1.3,2.23
Екидин,2013-03-12 00:00:00,0.92,2.1
Екидин,2013-03-13 00:00:00,1.3,2.7
Екидин,2013-03-14 00:00:00,1.4,2.13
Екидин,2013-03-15 00:00:00,0.87,1.35
Екидин,2013-03-16 00:00:00,1.7,3.09
Екидин,2013-03-17 00:00:00,1.7,3.6
Екидин,2013-03-18 00:00:00,2,4.6
Екидин,2013-03-19 00:00:00,2.8,6.4
Екидин,2013-03-20 00:00:00,1.6,3
Екидин,2013-03-21 00:00:00,1.8,2.97
Екидин,2013-03-22 00:00:00,1.9,3.41
Екидин,2013-03-23 00:00:00,1.9,3.57
Екидин,2013-03-24 00:00:00,2.7,6.1
Екидин,2013-03-25 00:00:00,3.5,6.7
Екидин,2013-03-26 00:00:00,2.5,4.31
Екидин,2013-03-27 00:00:00,2,3.43
Екидин,2013-03-28 00:00:00,3.9,8.9
Екидин,2013-03-29 00:00:00,4.3,6.5
Екидин,2013-03-30 00:00:00,1.2,1.87
Екидин,2013-03-31 00:00:00,1.3,2.43
Екидин,2013-04-01 00:00:00,2.2,4.36
Екидин,2013-04-02 00:00:00,2.5,5.3
Екидин,2013-04-03 00:00:00,4,7.9
Екидин,2013-04-04 00:00:00,5.6,12.2
Екидин,2013-04-05 00:00:00,5.6,11.8
Екидин,2013-04-06 00:00:00,6,13.5
Екидин,2013-04-07 00:00:00,7.6,14.9
Екидин,2013-04-08 00:00:00,8.5,18.2
Екидин,2013-04-09 00:00:00,9.4,19.9
Екидин,2013-04-10 00:00:00,11.9,24.9
Екидин,2013-04-11 00:00:00,13.5,26
Екидин,2013-04-12 00:00:00,12.9,27.3
Екидин,2013-04-13 00:00:00,4.2,7
Екидин,2013-04-14 00:00:00,3.7,7.4
Екидин,2013-04-15 00:00:00,1.7,2.41
Екидин,2013-04-16 00:00:00,1.3,1.73
Екидин,2013-04-17 00:00:00,2.1,3.9
Екидин,2013-04-18 00:00:00,2,3.5
Екидин,2013-04-19 00:00:00,3.3,7.8
Екидин,2013-04-20 00:00:00,5,9.1
Екидин,2013-04-21 00:00:00,6.1,12.9
Екидин,2013-04-22 00:00:00,8.8,18
Екидин,2013-04-23 00:00:00,6.9,13.3
Екидин,2013-04-24 00:00:00,6,11.3
Екидин,2013-04-25 00:00:00,6,14.2
Екидин,2013-04-26 00:00:00,4.6,7.5
Екидин,2013-04-27 00:00:00,1.8,2.7
Екидин,2013-04-28 00:00:00,3.3,5.7
Екидин,2013-04-29 00:00:00,5.1,10.1
Екидин,2013-04-30 00:00:00,5.7,9.5
Екидин,2013-05-01 00:00:00,5.1,10.6
Екидин,2013-05-02 00:00:00,9.1,19.3
Екидин,2013-05-03 00:00:00,5.4,10.3
Екидин,2013-05-04 00:00:00,6.5,13.8
Екидин,2013-05-05 00:00:00,8.7,12.6
Екидин,2013-05-06 00:00:00,9,19.6
Екидин,2013-05-07 00:00:00,12,22.6
Екидин,2013-05-08 00:00:00,13.5,27
Екидин,2013-05-09 00:00:00,3.8,6.9
Екидин,2013-05-10 00:00:00,6.6,11.1
Екидин,2013-05-11 00:00:00,8.5,18.7
Екидин,2013-05-12 00:00:00,6.2,10.3
Екидин,2013-05-13 00:00:00,7.4,13.9
Екидин,2013-05-14 00:00:00,11.1,21.8
Екидин,2013-05-15 00:00:00,12.5,25.2
Екидин,2013-05-16 00:00:00,12.1,24.6
Екидин,2013-05-17 00:00:00,12.6,25.6
Екидин,2013-05-18 00:00:00,9.7,17.9
Екидин,2013-05-19 00:00:00,6.4,11.7
Екидин,2013-05-20 00:00:00,4.5,7.2
Екидин,2013-05-21 00:00:00,7.7,16.6
Екидин,2013-05-22 00:00:00,6.2,8.4
Екидин,2013-05-23 00:00:00,7.3,14.1
Екидин,2013-05-24 00:00:00,10.3,17.6
Екидин,2013-05-25 00:00:00,10.5,19.3
Екидин,2013-05-26 00:00:00,13.5,25.5
Екидин,2013-05-27 00:00:00,18,32.4
Екидин,2013-05-28 00:00:00,20.2,34
Екидин,2013-05-29 00:00:00,18.2,31.3
Екидин,2013-05-30 00:00:00,21.1,34.2
Екидин,2013-05-31 00:00:00,17.2,27.5
Екидин,2013-06-01 00:00:00,16.4,31.6
