МЕТЕОРОЛОГИЧЕСКАЯ БАЗА ДАННЫХ,Unnamed: 1,Unnamed: 2,Unnamed: 3
"Табл. 2.5 Атмосферное давление, гПа",,,
Станция,Дата,На ур.станц.,На ур.моря
Екидин,2013-01-01 00:00:00,994,1021.8
Екидин,2013-01-02 00:00:00,995.6,1023.5
Екидин,2013-01-03 00:00:00,995.4,1024
Екидин,2013-01-04 00:00:00,1002.5,1032.3
Екидин,2013-01-05 00:00:00,1002.3,1031.1
Екидин,2013-01-06 00:00:00,996.3,1024.2
Екидин,2013-01-07 00:00:00,993.4,1021.5
Екидин,2013-01-08 00:00:00,994.1,1022.8
Екидин,2013-01-09 00:00:00,991.8,1020.1
Екидин,2013-01-10 00:00:00,987.5,1014.2
Екидин,2013-01-11 00:00:00,983.8,1010.5
Екидин,2013-01-12 00:00:00,981.4,1008.5
Екидин,2013-01-13 00:00:00,997.3,1025.9
Екидин,2013-01-14 00:00:00,989.6,1016.8
Екидин,2013-01-15 00:00:00,982.8,1010.2
Екидин,2013-01-16 00:00:00,995.6,1024
Екидин,2013-01-17 00:00:00,1002.3,1030.5
Екидин,2013-01-18 00:00:00,1002,1030.3
Екидин,2013-01-19 00:00:00,999.3,1027.3
Екидин,2013-01-20 00:00:00,993.8,1021.4
Екидин,2013-01-21 00:00:00,992.4,1020.1
Екидин,2013-01-22 00:00:00,984.6,1011.2
Екидин,2013-01-23 00:00:00,983.1,1009.5
Екидин,2013-01-24 00:00:00,988.5,1015.1
Екидин,2013-01-25 00:00:00,981.4,1007.5
Екидин,2013-01-26 00:00:00,991,1018.1
Екидин,2013-01-27 00:00:00,998.7,1026.9
Екидин,2013-01-28 00:00:00,1007.5,1036.8
Екидин,2013-01-29 00:00:00,1006.3,1035.5
Екидин,2013-01-30 00:00:00,1003.6,1032.5
Екидин,2013-01-31 00:00:00,997.9,1025.7
Екидин,2013-02-01 00:00:00,986.8,1013.4
Екидин,2013-02-02 00:00:00,985.8,1012.4
Екидин,2013-02-03 00:00:00,994,1021.8
Екидин,2013-02-04 00:00:00,1001.9,1030.2
Екидин,2013-02-05 00:00:00,1007.6,1036.1
Екидин,2013-02-06 00:00:00,1007.9,1035.8
Екидин,2013-02-07 00:00:00,1007.1,1034.5
Екидин,2013-02-08 00:00:00,1011.6,1039.9
