МЕТЕОРОЛОГИЧЕСКАЯ БАЗА ДАННЫХ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
"Табл. 2.1.2 Температура поверхности почвы, град.",,,,
Станция,Дата,Сред,Макс,Мин
Екидин,2013-01-01 00:00:00,-13,-10,-15
Екидин,2013-01-02 00:00:00,-12,-6,-18
Екидин,2013-01-03 00:00:00,-20,-8,-22
Екидин,2013-01-04 00:00:00,-27,-21,-31
Екидин,2013-01-05 00:00:00,-20,-12,-30
Екидин,2013-01-06 00:00:00,-13,-10,-14
Екидин,2013-01-07 00:00:00,-15,-11,-18
Екидин,2013-01-08 00:00:00,-20,-14,-23
Екидин,2013-01-09 00:00:00,-17,-3,-24
Екидин,2013-01-10 00:00:00,-4,-1,-6
Екидин,2013-01-11 00:00:00,-5,-2,-10
Екидин,2013-01-12 00:00:00,-9,-4,-19
Екидин,2013-01-13 00:00:00,-19,-12,-25
Екидин,2013-01-14 00:00:00,-9,-5,-13
Екидин,2013-01-15 00:00:00,-11,-5,-20
Екидин,2013-01-16 00:00:00,-17,-15,-21
Екидин,2013-01-17 00:00:00,-14,-10,-17
Екидин,2013-01-18 00:00:00,-15,-12,-21
Екидин,2013-01-19 00:00:00,-13,-7,-21
Екидин,2013-01-20 00:00:00,-11,-6,-15
Екидин,2013-01-21 00:00:00,-12,-7,-17
Екидин,2013-01-22 00:00:00,-4,0,-9
Екидин,2013-01-23 00:00:00,-2,0,-5
Екидин,2013-01-24 00:00:00,-2,1,-6
Екидин,2013-01-25 00:00:00,0,0,0
Екидин,2013-01-26 00:00:00,-6,0,-13
Екидин,2013-01-27 00:00:00,-15,-8,-21
Екидин,2013-01-28 00:00:00,-21,-13,-27
Екидин,2013-01-29 00:00:00,-22,-14,-28
Екидин,2013-01-30 00:00:00,-19,-10,-25
Екидин,2013-01-31 00:00:00,-13,-5,-20
Екидин,2013-02-01 00:00:00,-3,0,-8
Екидин,2013-02-02 00:00:00,-3,-2,-5
Екидин,2013-02-03 00:00:00,-11,-5,-18
Екидин,2013-02-04 00:00:00,-15,-8,-19
Екидин,2013-02-05 00:00:00,-15,-8,-19
Екидин,2013-02-06 00:00:00,-10,-3,-20
Екидин,2013-02-07 00:00:00,-5,-1,-10
Екидин,2013-02-08 00:00:00,-13,-5,-20
Екидин,2013-02-09 00:00:00,-17,-6,-24
Екидин,2013-02-10 00:00:00,-17,-7,-24
Екидин,2013-02-11 00:00:00,-18,-12,-24
Екидин,2013-02-12 00:00:00,-18,-10,-23
Екидин,2013-02-13 00:00:00,-18,-10,-24
Екидин,2013-02-14 00:00:00,-19,-10,-26
Екидин,2013-02-15 00:00:00,-13,-10,-18
Екидин,2013-02-16 00:00:00,-18,-9,-25
Екидин,2013-02-17 00:00:00,-17,-5,-25
Екидин,2013-02-18 00:00:00,-15,-4,-26
Екидин,2013-02-19 00:00:00,-10,-3,-14
Екидин,2013-02-20 00:00:00,-7,-2,-13
Екидин,2013-02-21 00:00:00,-16,-8,-22
Екидин,2013-02-22 00:00:00,-16,-9,-22
Екидин,2013-02-23 00:00:00,-14,-6,-22
Екидин,2013-02-24 00:00:00,-11,-5,-18
Екидин,2013-02-25 00:00:00,-16,-10,-20
Екидин,2013-02-26 00:00:00,-12,-6,-18
Екидин,2013-02-27 00:00:00,-14,-4,-22
Екидин,2013-02-28 00:00:00,-7,-3,-16
Екидин,2013-03-01 00:00:00,-19,-10,-27
Екидин,2013-03-02 00:00:00,-8,0,-17
Екидин,2013-03-03 00:00:00,-2,-1,-5
Екидин,2013-03-04 00:00:00,-2,0,-6
Екидин,2013-03-05 00:00:00,-5,0,-11
Екидин,2013-03-06 00:00:00,-2,-1,-5
Екидин,2013-03-07 00:00:00,-9,-5,-15
Екидин,2013-03-08 00:00:00,-11,-4,-18
Екидин,2013-03-09 00:00:00,-6,-3,-12
Екидин,2013-03-10 00:00:00,-12,-4,-19
