"Пост коды","Күні","Мағынасы"
"13221","2007-01-01","-"
"13221","2007-01-02","-"
"13221","2007-01-03","-"
"13221","2007-01-04","-"
"13221","2007-01-05","-"
"13221","2007-01-06","-"
"13221","2007-01-07","-"
"13221","2007-01-08","-"
"13221","2007-01-09","-"
"13221","2007-01-10","-"
"13221","2007-01-11","-"
"13221","2007-01-12","-"
"13221","2007-01-13","-"
"13221","2007-01-14","-"
"13221","2007-01-15","-"
"13221","2007-01-16","-"
"13221","2007-01-17","-"
"13221","2007-01-18","-"
"13221","2007-01-19","-"
"13221","2007-01-20","-"
"13221","2007-01-21","-"
"13221","2007-01-22","-"
"13221","2007-01-23","-"
"13221","2007-01-24","-"
"13221","2007-01-25","-"
"13221","2007-01-26","-"
"13221","2007-01-27","-"
"13221","2007-01-28","-"
"13221","2007-01-29","-"
"13221","2007-01-30","-"
"13221","2007-01-31","-"
"13221","2007-02-01","-"
"13221","2007-02-02","-"
"13221","2007-02-03","-"
"13221","2007-02-04","-"
"13221","2007-02-05","-"
"13221","2007-02-06","-"
"13221","2007-02-07","-"
"13221","2007-02-08","-"
"13221","2007-02-09","-"
"13221","2007-02-10","-"
"13221","2007-02-11","-"
"13221","2007-02-12","-"
"13221","2007-02-13","-"
"13221","2007-02-14","-"
"13221","2007-02-15","-"
"13221","2007-02-16","-"
"13221","2007-02-17","-"
"13221","2007-02-18","-"
"13221","2007-02-19","-"
"13221","2007-02-20","-"
"13221","2007-02-21","-"
"13221","2007-02-22","-"
"13221","2007-02-23","-"
"13221","2007-02-24","-"
"13221","2007-02-25","-"
"13221","2007-02-26","-"
"13221","2007-02-27","-"
"13221","2007-02-28","-"
"13221","2007-03-01","-"
"13221","2007-03-02","-"
"13221","2007-03-03","-"
"13221","2007-03-04","-"
"13221","2007-03-05","-"
"13221","2007-03-06","-"
"13221","2007-03-07","-"
"13221","2007-03-08","-"
"13221","2007-03-09","-"
"13221","2007-03-10","-"
"13221","2007-03-11","-"
"13221","2007-03-12","-"
"13221","2007-03-13","-"
"13221","2007-03-14","-"
"13221","2007-03-15","-"
"13221","2007-03-16","-"
"13221","2007-03-17","-"
"13221","2007-03-18","-"
"13221","2007-03-19","-"
"13221","2007-03-20","-"
"13221","2007-03-21","-"
"13221","2007-03-22","-"
"13221","2007-03-23","-"
"13221","2007-03-24","-"
"13221","2007-03-25","-"
