Станция,Дата,Сред,Мин,soil_tempСред,soil_tempМакс,soil_tempМин,air_tempСред,air_tempМакс,air_tempМин,pressureНа ур.станц.,pressureНа ур.моря,dew_pointМин,snezhnСт.покр.,"snezhnВысота,см",def_nasСред,def_nasМакс,osadkiСумма,windСред,windМакс. из 8 срок,windАбс.макс.,part_pressСред
Екидин,2013-01-01 00:00:00,76,68,-13,-10,-15,-12.2,-10.3,-13.8,994.0,1021.8,-16.7,10.0,12,0.59,0.81,0.2,3.4,5,9,1.81
Екидин,2013-01-02 00:00:00,84,78,-12,-6,-18,-11.8,-5.2,-17.9,995.6,1023.5,-19.7,10.0,12,0.39,0.52,2.4,5.1,7,12,2.22
Екидин,2013-01-03 00:00:00,79,74,-20,-8,-22,-19.3,-6.7,-21.0,995.4,1024.0,-23.8,10.0,18,0.28,0.37,0.3,3.6,5,11,1.06
Екидин,2013-01-04 00:00:00,78,75,-27,-21,-31,-27,-19.7,-30.4,1002.5,1032.3,-32.7,10.0,16,0.15,0.21,0.4,2.1,4,6,0.55
Екидин,2013-01-05 00:00:00,78,76,-20,-12,-30,-19.1,-12.6,-29.0,1002.3,1031.1,-31.1,10.0,16,0.32,0.53,0.5,6.5,9,14,1.18
Екидин,2013-01-06 00:00:00,75,70,-13,-10,-14,-12.5,-10,-14.2,996.3,1024.2,-17.4,10.0,15,0.58,0.85,0.2,3.5,7,11,1.77
Екидин,2013-01-07 00:00:00,70,66,-15,-11,-18,-14.6,-13,-17.0,993.4,1021.5,-21.1,10.0,15,0.61,0.78,,0.9,2,5,1.38
Екидин,2013-01-08 00:00:00,77,74,-20,-14,-23,-20.1,-14.3,-22.4,994.1,1022.8,-24.8,10.0,16,0.29,0.47,,1.1,2,4,0.98
Екидин,2013-01-09 00:00:00,76,68,-17,-3,-24,-17.1,-1.8,-23.0,991.8,1020.1,-25.4,10.0,15,0.49,1.66,,1.3,4,7,1.41
Екидин,2013-01-10 00:00:00,75,68,-4,-1,-6,-3.4,-2,-5.1,987.5,1014.2,-9,10.0,10,1.2,1.55,,3.6,7,11,3.59
Екидин,2013-01-11 00:00:00,81,72,-5,-2,-10,-4.2,-0.5,-9.2,983.8,1010.5,-11.1,10.0,15,0.89,1.55,,2.9,5,9,3.66
Екидин,2013-01-12 00:00:00,80,75,-9,-4,-19,-8.6,-3.1,-18.9,981.4,1008.5,-22.1,10.0,19,0.67,1.13,2.9,6.6,13,19,2.7
Екидин,2013-01-13 00:00:00,76,71,-19,-12,-25,-18.5,-11.6,-23.9,997.3,1025.9,-27,10.0,19,0.36,0.48,0.2,6.1,9,13,1.16
Екидин,2013-01-14 00:00:00,82,78,-9,-5,-13,-8.5,-4.3,-12.7,989.6,1016.8,-14.7,10.0,18,0.56,0.64,1.1,9.4,12,17,2.74
Екидин,2013-01-15 00:00:00,82,74,-11,-5,-20,-11.1,-4.4,-19.7,982.8,1010.2,-22.9,10.0,18,0.45,0.51,1.8,6.0,10,14,2.45
Екидин,2013-01-16 00:00:00,79,77,-17,-15,-21,-17.2,-14.7,-20.4,995.6,1024.0,-22.9,10.0,18,0.33,0.41,0.4,7.9,9,13,1.27
Екидин,2013-01-17 00:00:00,80,73,-14,-10,-17,-13.6,-11.3,-15.9,1002.3,1030.5,-18.5,10.0,17,0.43,0.59,0.6,6.5,8,13,1.74
Екидин,2013-01-18 00:00:00,81,77,-15,-12,-21,-15.2,-12.5,-20.0,1002.0,1030.3,-22.5,10.0,19,0.34,0.54,0.8,2.0,5,8,1.56
Екидин,2013-01-19 00:00:00,80,75,-13,-7,-21,-13.2,-8,-20.1,999.3,1027.3,-22.6,10.0,19,0.5,0.74,0.2,2.4,4,6,1.83
Екидин,2013-01-20 00:00:00,78,76,-11,-6,-15,-10.3,-6.7,-13.8,993.8,1021.4,-16.4,10.0,19,0.62,0.83,,2.8,5,8,2.24
Екидин,2013-01-21 00:00:00,82,77,-12,-7,-17,-11.7,-8,-16.1,992.4,1020.1,-17.9,10.0,19,0.47,0.74,,2.3,5,8,2.09
Екидин,2013-01-22 00:00:00,82,75,-4,0,-9,-3.5,0.5,-8.6,984.6,1011.2,-10.1,10.0,17,0.83,1.03,,6.4,10,14,3.96
Екидин,2013-01-23 00:00:00,88,80,-2,0,-5,-1.5,0.5,-4.4,983.1,1009.5,-5.5,10.0,17,0.67,1.23,2.0,10.3,15,19,4.84
Екидин,2013-01-24 00:00:00,85,78,-2,1,-6,-1.5,2,-5.3,988.5,1015.1,-7.2,10.0,19,0.84,1.53,1.1,3.1,7,11,4.72
Екидин,2013-01-25 00:00:00,87,78,0,0,0,1.1,2.1,0.5,981.4,1007.5,-1.6,10.0,16,0.89,1.53,1.4,6.3,10,16,5.74
Екидин,2013-01-26 00:00:00,81,77,-6,0,-13,-6.1,0.8,-10.9,991.0,1018.1,-12.8,10.0,14,0.74,1.01,,8.0,15,18,3.3
Екидин,2013-01-27 00:00:00,78,69,-15,-8,-21,-14.9,-10.2,-20.4,998.7,1026.9,-24.4,10.0,14,0.42,0.83,,3.4,7,9,1.54
Екидин,2013-01-28 00:00:00,72,64,-21,-13,-27,-21.8,-15.2,-26.4,1007.5,1036.8,-29.4,10.0,14,0.34,0.64,,1.5,3,5,0.8
Екидин,2013-01-29 00:00:00,73,62,-22,-14,-28,-21.7,-14.1,-26.7,1006.3,1035.5,-29.7,10.0,14,0.34,0.78,,1.1,3,4,0.81
Екидин,2013-01-30 00:00:00,72,63,-19,-10,-25,-19.3,-13,-24.5,1003.6,1032.5,-27.5,10.0,14,0.41,0.73,,2.3,4,6,0.99
Екидин,2013-01-31 00:00:00,69,63,-13,-5,-20,-10.8,-5.9,-16.7,997.9,1025.7,-19.2,10.0,14,0.91,1.43,,3.5,8,13,1.9
Екидин,2013-02-01 00:00:00,87,82,-3,0,-8,-2.8,0,-7.4,986.8,1013.4,-9.4,10.0,15,0.63,0.73,1.5,7.9,14,18,4.43
Екидин,2013-02-02 00:00:00,84,75,-3,-2,-5,-2.8,-1.3,-4.4,985.8,1012.4,-7.1,10.0,15,0.8,1.23,1.6,3.1,6,8,4.19
Екидин,2013-02-03 00:00:00,79,70,-11,-5,-18,-11.7,-4.3,-17.4,994.0,1021.8,-19.9,10.0,15,0.54,0.72,0.0,4.3,7,10,2.06
