station_code,date,water_level,symbol,discharge
13221,2007-01-01,555,ВI,-
13221,2007-01-02,555,ВI,-
13221,2007-01-03,555,ВI,-
13221,2007-01-04,555,ВI,-
13221,2007-01-05,555,ВI,-
13221,2007-01-06,555,ВI,-
13221,2007-01-07,555,ВI,-
13221,2007-01-08,555,ВI,-
13221,2007-01-09,555,ВI,-
13221,2007-01-10,555,ВI,-
13221,2007-01-11,555,ВI,-
13221,2007-01-12,555,ВI,-
13221,2007-01-13,555,ВI,-
13221,2007-01-14,555,ВI,-
13221,2007-01-15,555,ВI,-
13221,2007-01-16,555,ВI,-
13221,2007-01-17,555,ВI,-
13221,2007-01-18,555,ВI,-
13221,2007-01-19,555,ВI,-
13221,2007-01-20,555,ВI,-
13221,2007-01-21,555,ВI,-
13221,2007-01-22,555,ВI,-
13221,2007-01-23,555,ВI,-
13221,2007-01-24,555,ВI,-
13221,2007-01-25,555,ВI,-
13221,2007-01-26,555,ВI,-
13221,2007-01-27,555,ВI,-
13221,2007-01-28,555,ВI,-
13221,2007-01-29,555,ВI,-
13221,2007-01-30,555,ВI,-
13221,2007-01-31,555,ВI,-
13221,2007-02-01,555,ВI,-
13221,2007-02-02,555,ВI,-
13221,2007-02-03,555,ВI,-
13221,2007-02-04,555,ВI,-
13221,2007-02-05,555,ВI,-
13221,2007-02-06,555,ВI,-
13221,2007-02-07,554,ВI,-
13221,2007-02-08,554,ВI,-
13221,2007-02-09,554,ВI,-
13221,2007-02-10,554,ВI,-
13221,2007-02-11,554,ВI,-
13221,2007-02-12,554,ВI,-
13221,2007-02-13,554,ВI,-
13221,2007-02-14,554,ВI,-
13221,2007-02-15,554,ВI,-
13221,2007-02-16,554,ВI,-
13221,2007-02-17,554,ВI,-
13221,2007-02-18,554,ВI,-
13221,2007-02-19,554,ВI,-
13221,2007-02-20,554,ВI,-
13221,2007-02-21,554,ВI,-
13221,2007-02-22,554,ВI,-
13221,2007-02-23,554,ВI,-
13221,2007-02-24,554,ВI,-
13221,2007-02-25,554,ВI,-
13221,2007-02-26,554,ВI,-
13221,2007-02-27,554,ВI,-
13221,2007-02-28,554,ВI,-
13221,2007-03-01,554,ВI,-
13221,2007-03-02,554,ВI,-
13221,2007-03-03,554,ВI,-
13221,2007-03-04,554,ВI,-
13221,2007-03-05,554,ВI,-
13221,2007-03-06,554,ВI,-
13221,2007-03-07,554,ВI,-
13221,2007-03-08,554,ВI,-
13221,2007-03-09,554,ВI,-
13221,2007-03-10,554,ВI,-
13221,2007-03-11,554,ВI,-
13221,2007-03-12,554,ВI,-
13221,2007-03-13,554,ВI,-
13221,2007-03-14,554,ВI,-
13221,2007-03-15,554,ВI,-
13221,2007-03-16,554,ВI,-
13221,2007-03-17,554,ВI,-
13221,2007-03-18,554,ВI,-
13221,2007-03-19,555,ВI,-
13221,2007-03-20,555,ВI,-
13221,2007-03-21,555,ВI,-
13221,2007-03-22,555,ВI,-
13221,2007-03-23,555,ВI,-
13221,2007-03-24,556,ВI,-
13221,2007-03-25,556,ВI,-
13221,2007-03-26,556,ВI,-
13221,2007-03-27,556,ВI,-
13221,2007-03-28,556,ВI,-
13221,2007-03-29,557,ВI,-
13221,2007-03-30,560,В↑,-
13221,2007-03-31,563,В↑,-
13221,2007-04-01,570,В↑,нб
13221,2007-04-02,579,В↑,нб
13221,2007-04-03,585,В↑,нб
13221,2007-04-04,598,В↑,нб
13221,2007-04-05,621,В↑,нб
13221,2007-04-06,647,В↑,нб
